Title,Link,Authors,Abstract,Keywords,Date
The Path to Recognize unreadable language of voynich manuscript ,https://ling.auf.net/lingbuzz/005595/current.pdf?_s=XCXz9WFMl3ZiZFpA,"['Motiee, Pardis']","
Like a chemical equation which the form present in both sides is removed to get the general reaction.In order to get Voynich's true language, the repetitive parts must be removed from the text and  it has to be done with certain rules. 
In this writing , by examining a paragraph of the manuscript , I will show how this process works and finally compare the results with the plant drawing . ","['voynich manuscript', 'language', 'syntax', 'phonology', 'semantics', 'morphology']",2020
States in the decomposition of verbal predicates: evidence from additive operators,https://ling.auf.net/lingbuzz/005380/current.pdf?_s=d_MMq8EEdm1Q3Ne1,"['Spathas, Giorgos', 'Michelioudakis, Dimitris']","This paper proposes a new diagnostic for the detection of stative sub-events in the decomposition of verbal predicates. The diagnostic is based on a certain type of presupposition triggered by additive operators like Greek ke ‘also’, which we call Stative Presuppositions. It is argued that the generation of such Stative Presuppositions requires the existence of a syntactically accessible constituent that denotes a predicate of states that additive operators can take scope over. We investigate the distribution of Stative Presuppositions and observe that not all verbs that support inferences to a result state give rise to them. Based on this distribution we argue for a non-uniform analysis of result verbs; whereas some verbs require an event-decompositional analysis, others are better captured by scalar- and incrementality-based analyses. We cast our analysis in the framework of Distributed Morphology and propose to explain non-uniformity based on how different types of verbal roots interact with verbal functional material. Moreover, treating roots as the locus of encyclopedic information explains lexical variation in the generation of Stative Presuppositions within sub-classes of result verbs. We strengthen our conclusions by considering and rejecting alternative syntactic and semantic mechanisms for generating Stative Presuppositions. We conclude that the generation of Stative Presuppositions by additive operators is currently the most reliable diagnostic for the detection of syntactically accessible result states in verbal decomposition. ","['verbal semantics', 'result state', 'event structure', 'inner aspect', 'additive operators', 'lexical decomposition', 'change of state', 'incrementality', 'degree achievement', 'semantics', 'morphology', 'syntax']",2020
Universality and variation in language,https://ling.auf.net/lingbuzz/005575/current.pdf?_s=pQ8sgAXAcokBoRt7,"['Sigurdsson, Halldor Armann']","This article discusses language universality and language variation, and suggests that there is no feature variation in initial syntax, featural variation arising by metamorphosis under transfer from syntax to PF-morphology. In particular, it explores the Zero Hypothesis, stating that Universal Grammar, UG, only provides two building elements, Root Zero and Edge Feature Zero, zero, as they are purely structural/formal elements with no semantic content in UG. Their potential content is provided by the Concept Mine, a mind-internal but language-external department. ... It is suggested that parameters are on the externalization side of language, part of or related to the sensory-motor system, facilitating motoric learning in language acquisition.","['keywords: root zero', 'concept mine', 'simplest merge', 'tense', 'gender', 'edge features', 'edge computation', 'parameters', 'language metamorphosis', 'semantics', 'morphology', 'syntax']",2020
Syntactic and lexical -ase- are distinct suffixes,https://ling.auf.net/lingbuzz/005588/current.pdf?_s=oU8TwKmz5CsJU5gI,"['de Chene, Brent']","In addition to the syntactic (inflectional) causative suffix -(s)ase-, Japanese displays a lexical (derivational) causative suffix -(a)se- (aw-ase- ‘join’, no-se- ‘place on’) whose a-zero alternation is general in the stem-level phonology. Because the UR of syntactic -(s)ase- must include the s of its post-vocalic alternant, the two suffixes necessarily have distinct phonological forms; there is thus no way to treat them as “high attachment” and “low attachment” versions of a single element. The division of labor between syntactic -(s)ase- and lexical -(a)se- invites the conclusion that no causative suffix is syntactic in some cases and lexical in others; if so, causatives pose no challenge to the position that while Japanese inflectional morphology is generated syntactically, derivational morphology involves lexical listing of stems. The conclusion that there is no causative suffix that spans the syntactic/lexical boundary is validated by showing that forms that have been taken in the literature as exemplifying lexical -(s)ase- are in fact either lexical -(a)se- or syntactic -(s)ase-. As part of this demonstration, it is shown that, with minor exceptions, verb stems in -ase- have arisen as variants of pre-existing stems in -as-, and an explanation for this ongoing process of replacement is proposed.","['japanese', 'syntactic causative', 'lexical causative', 'high/low attachment', 'blocking', 'morphology']",2020
Modeling declensions without declension features,https://ling.auf.net/lingbuzz/005537/current.pdf?_s=9tH5x7divSnYk2_K,"['Caha, Pavel']","Standard accounts of declension classes often rely on postulating arbitrary declension-class features. The problem with this is that then our grammar operates over language-specific features, which creates a tension with a restrictive theory of UG based on a universal set of features relevant for language. This article shows how declension classes can be modeled without using language-specific declension features.","['nanosyntax', 'declension', 'case', 'morphology']",2020
On Sound-Meaning Correlation,https://ling.auf.net/lingbuzz/005472/current.pdf?_s=4tkiYeEHw9g8M_Vw,"['Mukherji, Nirmalangshu']","The intriguing fact about human language is that neither the sound systems nor the thought systems--technically called Sensorimotor and Conceptual-intentional systems--have any significant precedence prior to the emergence of the hominid line. So, a theory of language needs to explain where they came from and how they fell into place to create the conditions for unbounded generativity. In effect, language-theory needs to explain two novel factors in the evolution of human language: word-formation and word-combination. In this context, the recent proposal that the sound component of language is 'ancillary', and that language is basically designed for thought, is problematic. This is because the proposal turns the origin of the rich structure of human thought into a mystery since the units of human thought could not have been borrowed from, say, the apes. To look for an alternative explanation, we study Darwin's idea that (a) the sound system might have evolved in part from a pre-existing human music system, (b) the evolving sound systems might have 'acted on' rudimentary units of thought systems to turn them into words. We critically evaluate Darwin's picture. In the process, we locate the gaps in Darwin's story that must be filled to reach a more complete theory of language.","['language evolution', 'sound system', 'sound ancillary hypothesis', 'thought system', 'generativity', 'morphology', 'syntax']",2020
Tier-based locality in Armenian conjugation classes:  Relativized adjacency in long-distance allomorphy ,https://ling.auf.net/lingbuzz/005590/current.pdf?_s=sQ_X7__2XJsGz9po,"['Dolatian, Hossep', 'Guekguezian, Peter']","A cross-linguistic tendency is that linguistic processes respect locality constraints.  In this paper, we analyze the distribution of conjugation classes in Armenian.  We analyze differen ttypes of allomorphy which apply across these classes.  On the surface, we show that such allomorphy is long-distant. However, we argue that allomorphy respects 'relativized adjacency'(Toosarvandani 2016) or tier-based locality (Aksënova et al. 2016). Specifically, allomorphy is sensitive to the interaction between multiple morphemes which are not linearly or structurally adjacent.   However,  the interaction is local on a tier which is projected from the morphology.  This computational formalizes generalizes across many separate theories of allomorphy,including phases and structural adjacency.","['phase', 'theme vowel', 'tier', 'allomorphy', 'suppletion', 'locality', 'morphologically-conditioned allomorphy', 'phase-based locality', 'tier-based locality', 'locality domains', 'morphology', 'phonology']",2020
Allomorph selection precedes phonology: Evidence from the Yindjibarndi locative,https://ling.auf.net/lingbuzz/005587/current.pdf?_s=9nvrxu7BRui5OTCx,"['Stanton, Juliet']","Theories of the phonology-morphology interface can be differentiated by their claims regarding the timing of phonologically conditioned suppletive allomorphy (PCSA) and regular phonology. Some (e.g. Paster 2006, Embick 2010) argue that PCSA occurs in a morphological component of the grammar that precedes phonology; others (e.g. Kager 1996, Mascaró 2007, Smith 2015) argue that at least phonologically optimizing PCSA occurs in the phonological component of the grammar, with regular phonology. This paper discusses a case of optimizing PCSA in Yindjibarndi (Pama-Nyungan, Wordick 1982), proposes an analysis in which suppletive allomorphy precedes regular phonology, and shows that the alternative – an analysis in which PCSA occurs in the phonological component of the grammar – is likely unworkable.","['suppletion', 'allomorphy', 'phonotactics', 'morphology', 'phonology']",2020
Computational locality in nonlinear morphophonology,https://ling.auf.net/lingbuzz/005582/current.pdf?_s=8aq1Mxj3C9sAfml-,"['Dolatian, Hossep', 'Rawski, Jonathan']","This paper presents a computational analysis of locality in nonlinear phonology and morphology. Most segmental phonology and concatenative morphology are  computationally local and characterized  by the class of  Input Strictly Local functions. We generalize these functions to consider multiple inputs, i.e.  Multi-Input Strictly Local. We implement this approach using multi-tape automata, and find that they elegantly characterize the bulk of nonlinear suprasegmental phonology and morphology. We demonstrate these results for both tonal phonology and template-filling patterns in root-and-pattern morphology. We show that locality is affected by some theoretical choices (directionality, tier-conflation), but not others (phonological content of templates). For prosodic morphology, nuanced representational choices can affect locality. The flexibility and precision given by the mathematical theory of formal languages provides precise discussion of the nuances of phonological and morphological complexity and substance in a theory-independent but rigorous way.
","['tone', 'prosodic morphology', 'semitic templates', 'prosodic template', 'root-and-pattern morphology', 'nonlinear representations', 'locality', 'computational locality', 'multi-tape finite state transducers', 'computational phonology', 'finite-state phonology', 'morphology', 'phonology']",2020
Case matching and syncretism in ATB dependencies,https://ling.auf.net/lingbuzz/002912/current.pdf?_s=o0Vvjo7TzC2qPz9y,"['Hein, Johannes', 'Murphy, Andrew']","Syncretism has been reported to have the peculiar property of repairing violations of syntactic constraints, e.g. with agreement (Schütze 2003, Bhatt & Walkow 2013) and case matching (Citko 2005, van Craenenbroeck 2012). This paper puts forward the view that in one well-reported instance of syncretism repair of case-matching violations with ATB-movement, this repair follows directly from the nature of ATB movement. We pursue a novel movement-based analysis that has proven to be a marginal approach in the ATB literature; ATB movement involves the actual
fusion of two syntactic objects, via intersection of feature sets, resulting in a single new object. 
As well as deriving the one-to-many relation between fillers and gaps in ATB, we show how the `repair' effect of syncretism with case matching
violations follows naturally once this mechanism of ATB is assumed.","['syncretism', 'atb', 'case matching', 'polish', 'intersection', 'morphology', 'syntax']",2020
