Title,Link,Authors,Abstract,Keywords,Date
Exploring the nature of cumulativity through sound symbolism: Experimental studies of Pokémonastics with English speakers,https://ling.auf.net/lingbuzz/005243/current.pdf?_s=ZXBGafpbo8W1-oRQ,"['Kawahara, Shigeto', 'Breiss, Canaan']","There has been a dramatic rise of interest in sound symbolism, systematic associations between sounds and meanings. Despite this, one aspect that is still markedly under-explored is its cumulative nature, i.e., when there are two or more sounds with the same symbolic meaning, whether these effects add up or not. These questions are important to address, since they bear on the general question of how speakers take into account multiple sources of evidence when they make linguistic decisions. Inspired by an accumulating body of research on cumulativity in other linguistic patterns, two experiments on sound symbolism using Pokémon names were conducted with native speakers of English. The experiments tested two types of cumulativity: counting cumulativity, which holds if the effects of multiple instances of the same factor add up, and ganging-up cumulativity, which holds when the effects of different factors add up. The experiments addressed whether these patterns of cumulativity hold in sound symbolism, and, more importantly, if so, how. We found that (1) three factors can show ganging-up cumulativity, (2) counting cumulativity and ganging-up cumulativity can coexist in a single system (3) ganging-up cumulativity patterns can plausibly be considered to be linear, and (4) counting cumulativity effects can be sub-linear.","['cumulativity', 'sound symbolism', 'pokémonastics', 'voicing', 'the iconicity of quantity', 'phonology']",2020
A wug-shaped curve in sound symbolism: The case of Japanese Pokémon names,https://ling.auf.net/lingbuzz/005382/current.pdf?_s=gifNKMd3FuUNDf4T,"['Kawahara, Shigeto']","Whether linguistic patterns show cumulative effects or not is an issue that is currently debated in contemporary phonological studies. This paper attempts to shed new light on this debate from a novel perspective by studying sound symbolism, systematic associations between sounds and meanings. The current experiment shows that when Japanese speakers judge Pokémons’ evolution status based on nonce names, the judgments are affected both by their mora count and the presence of a voiced obstruent. The effects of mora count instantiate a case of counting cumulativity, while the interaction between these two factors instantiates ganging-up cumulativity. These two cumulative patterns observed in the current experiment together result in what Hayes (2020) refers to as “wug-shaped curves,” a quantitative signature predicted by MaxEnt. The paper shows that the experimental results can indeed be successfully modeled using MaxEnt, equipped with the sort of phonological constraints that have been used in the Optimality Theoretic research. I also examine Stochastic Optimality Theory in light of the current experimental results and show that this theory faces an interesting set of challenges. Finally, in this paper I make a novel methodological proposal for general phonological inquiry and sound symbolism research. The current study was inspired by Hayes (2020), a proposal made within formal phonology. The experiment ended up revealing important, hitherto understudied aspects of sound symbolism, and in turn, it revealed how cumulativity manifests itself in linguistic patterns. The current exploration thus shows by way of a case study that formal phonology and research on sound symbolism can mutually inform one another. [xxx This paper supersedes the paper that was uploaded as https://ling.auf.net/lingbuzz/005160]","['sound symbolism', 'maxent', 'stochastic ot', 'cumulativity', 'stochasticity', 'wug-shaped curves', 'pokémonastics', 'japanese', 'phonetics', 'phonology']",2020
Bootstrapping Sound Changes,https://ling.auf.net/lingbuzz/004299/current.pdf?_s=66EEFH1kuVm2Nohr,"['Begus, Gasper']","This paper presents a technique for estimating the influences of channel bias on phonological typology. The technique based on statistical bootstrapping enables the estimation of Historical Probability, the probability that a synchronic alternation arises based on two diachronic factors -- the number of sound changes required for an alternation to arise and their respective probabilities. We estimate Historical Probabilities of six attested and unattested alternations targeting feature [voice], compare Historical Probabilities of these alternations, perform inferential statistics on the comparison, and compare outputs of the diachronic model against the independently observed synchronic typology to evaluate the performance of the channel bia approach. The proposed technique also identies mismatches in typological predictions of the analytic bias and channel bias approaches. By comparing these mismatches with the observed typology, this paper attempts to quantitatively evaluate the distinct contributions of the two influences on typology in a set of alternations targeting feature [voice].","['historical phonology', 'sound change', 'bootstrapping', 'learnability', 'typology', 'phonology']",2020
On Sound-Meaning Correlation,https://ling.auf.net/lingbuzz/005472/current.pdf?_s=QRZcdToFCihZA6Uv,"['Mukherji, Nirmalangshu']","The intriguing fact about human language is that neither the sound systems nor the thought systems--technically called Sensorimotor and Conceptual-intentional systems--have any significant precedence prior to the emergence of the hominid line. So, a theory of language needs to explain where they came from and how they fell into place to create the conditions for unbounded generativity. In effect, language-theory needs to explain two novel factors in the evolution of human language: word-formation and word-combination. In this context, the recent proposal that the sound component of language is 'ancillary', and that language is basically designed for thought, is problematic. This is because the proposal turns the origin of the rich structure of human thought into a mystery since the units of human thought could not have been borrowed from, say, the apes. To look for an alternative explanation, we study Darwin's idea that (a) the sound system might have evolved in part from a pre-existing human music system, (b) the evolving sound systems might have 'acted on' rudimentary units of thought systems to turn them into words. We critically evaluate Darwin's picture. In the process, we locate the gaps in Darwin's story that must be filled to reach a more complete theory of language.","['language evolution', 'sound system', 'sound ancillary hypothesis', 'thought system', 'generativity', 'morphology', 'syntax']",2020
Artificial sound change: Language change and deep convolutional neural networks in iterative learning,https://ling.auf.net/lingbuzz/005558/current.pdf?_s=7YCYJjIsCZcL0S1w,"['Begus, Gasper']","This paper proposes a framework for modeling sound change that combines deep
convolutional neural networks and iterative learning. Acquisition and transmission of
speech across generations is modeled by training generations of Generative
Adversarial Networks on unannotated raw speech data. The paper argues that several
properties of sound change emerge from the proposed architecture. Generative
Adversarial Networks (Goodfellow et al. 2014, Donahue et al. 2019) are uniquely
appropriate for modeling language change because the networks are trained on raw
unsupervised acoustic data, contain no language-specific devices and, as argued in
Beguš (2020b), encode phonetic and phonological representations in their latent space
and generate innovative data that are linguistically highly informative. Four generations
of Generative Adversarial Networks were trained on an allophonic distribution in
English where voiceless stops are aspirated word-initially before stressed vowels except if preceded by [s]. The first generation of networks is trained on the relevant sequences in human speech from the TIMIT database. The subsequent generations are not trained on TIMIT, but on generated outputs from the previous generation and thus start learning from each other in an iterative learning task. The initial allophonic distribution is progressively being lost with each generation, likely due to pressures. from the global distribution of aspiration in the training data that resembles phonological pressures in natural language. The networks show signs of a gradual shift in phonetic targets characteristic of a gradual phonetic sound change. At endpoints, the networks' outputs superficially resemble a phonological change --- rule loss --- driven by imperfect learning. The model features signs of stability, one of the more challenging aspects of computational models of sound change. The results suggest that the proposed Generative Adversarial models of phonetic and phonological acquisition have the potential to yield new insights into the long-standing question of how to model language change.","['artificial intelligence', 'deep convolutional neural networks', 'generative adversarial networks', 'speech', 'phonetic learning', 'phonological learning', 'historical linguistics', 'sound change', 'phonology']",2020
Sound-symbolic effects of voiced obstruents and mora counts on monster names  in Digital Monster and Monster Hunter and on the spell names in Final Fantasy,https://ling.auf.net/lingbuzz/005402/current.pdf?_s=1bY-aNXI_dC_a3T-,"['Kumagai, Gakuji', 'Yoshitake, Kazuaki', 'Tanji, Hiromu', 'Matsuhashi, Takuya']","The current paper shows three case studies of sound symbolism in fictional names featured in popular Japanese computer games: Digital Monster, Monster Hunter, and Final Fantasy. First, we show positive correlations between evolutionary stages and the number of voiced obstruents and the number of morae in Digital Monster. This replicates the results of the sound-symbolic analysis of Pokémon names conducted by Kawahara et al. (2018a). Second, we show that only the effect of the morae is positively associated with the size (height) of the monsters in Monster Hunter. Third, we reveal a positive correlation between the spell levels in Final Fantasy and the number of voiced obstruents, but not between the spell levels and the number of morae.","['sound symbolism', 'voiced obstruents', 'mora counts', 'evolution', 'size', 'strength', 'phonology']",2020
A stripy wug-shaped curves in sound symbolism,https://ling.auf.net/lingbuzz/005476/current.pdf?_s=CdFT7Ud0nZIx1akp,"['Kawahara, Shigeto']","In recent years, Maximum Entropy Harmonic Grammar (MaxEnt HG) has been successfully applied to model various linguistic patterns. Building on these studies, the current experiment examines its quantitative signatures, typical probabilistic patterns that this framework is predicted to generate Hayes (2020). Given a linear scale of violations of one constraint, MaxEnt yields a sigmoid curve. When another constraint is relevant, this sigmoid curve can be shifted, yielding two sigmoid curves, which together look like a wug, our beloved animal in the linguistics community. When the second constraint can be violated more than once, MaxEnt predicts that it yields a set of multiple sigmoid curves separated from one another, resulting in a ""stripy wug-shaped curve."" The current experiment demonstrates that we observe a stripy wug-shaped curve in patterns of sound symbolism, systematic associations between sounds and meanings. Concretely, the experiment shows that the judgment of Pokémons' evolution status is cumulatively affected by the mora counts of nonce names, resulting in a sigmoid curve, and that this sigmoid curve can be shifted according to the number of voiced obstruents contained in the names. This paper concludes that MaxEnt HG is a useful framework to model sound-meaning mappings, and suggests that there may be a meaningful parallel between sound symbolic patterns and probabilistic phonological patterns.  ","['maxent', 'stripy wug-shaped curve', 'sound symbolism', 'pokemon', 'iconicity of quantity', 'voiced obstruents', 'bayesian analyses', 'phonology']",2020
"MaxEnt, its quantitative signature and sound symbolism (Or, can you draw wug-shaped curves with Pokémonastics?)",https://ling.auf.net/lingbuzz/005160/current.pdf?_s=DdXR2Rx_tqkCLxZv,"['Kawahara, Shigeto']","Whether linguistic patterns show cumulative effects or not is an issue that is currently debated in contemporary phonological studies. This paper attempts to shed new light on this debate from a novel perspective by studying sound symbolism, systematic associations between sounds and meanings. The current experiment shows that when Japanese speakers judge Pokémons' evolution status based on nonce names, the judgments are affected both by their mora count and the presence of a voiced obstruent. The effects of mora count instantiate a case of counting cumulativity, while the interaction between these two factors instantiates ganging-up cumulativity. These two cumulative patterns observed in the current experiment together result in what Hayes (2020) refers to as ""wug-shaped curves,'' a quantitative signature predicted by MaxEnt. The paper shows that the experimental results can indeed be successfully modeled using MaxEnt, equipped with the sort of phonological constraints that have been used in the Optimality Theoretic research. I also examine Stochastic Optimality Theory in light of the current experimental results and show that this theory faces an interesting set of challenges. Finally, in this paper I make a novel methodological proposal for general phonological inquiry and sound symbolism research. The current study was inspired by Hayes (2020), a proposal made within formal phonology. The experiment ended up revealing important, hitherto understudied aspects of sound symbolism, and in turn, it revealed how cumulativity manifests itself in linguistic patterns. The current exploration thus shows by way of a case study that formal phonology and research on sound symbolism can mutually inform one another. [XXXXX This paper has been superseded by https://ling.auf.net/lingbuzz/005382 XXXXXXX]","['sound symbolism', 'maxent', 'stochastic ot', 'cumulativity', 'stochasticity', 'wug-shaped curves', 'pokémonastics', 'japanese', 'phonology']",2020
Reduplication: A New Distributed Morphology Approach,https://ling.auf.net/lingbuzz/005292/current.pdf?_s=WI_M483uXsrU7CzB,"['Alqarni, Muteb']","The current paper aims to capture the properties of reduplication within the distributed morphology model (Halle and Marantz 1993, 1994; Embick and Noyer 2006; Siddiqi 2009; Embick 2010). Taking Standard Arabic (SA) as a representative, the article shows that SA, like many other languages, has both full and partial reduplication. Full reduplication repeats entire words or stems whereas partial reduplication doubles part of the stem. Rather than the available two analyses, i.e. the readjustment approach (Raimy 2000; Frampton 2009) and the affixation approach (Haugen 2008; Haugen and Harley 2010; Haugen 2011), the current paper provides a novel approach to the phenomenon of reduplication in the world languages. It argues that root consonants and vowels should be decomposed into non-phonetic distinctive features that undergo late insertion at PF. These non-phonetic distinctive features are supplied with sound items at PF in the same fashion that the terminal nodes with morphosyntactic features are fed with vocabulary items. This approach serves three purposes. It accounts for speech errors, captures the non-concatenative morphology in Semitic languages, and allows the reduplicant form to copy all the distinctive features of the roots, yielding instances of full reduplication. Instances of partial reduplication can be generated by root-sensitive impoverishment rules which target and delete some of the features of the stem or the reduplicant form.","['reduplication', 'standard arabic', 'distributed morphology', 'sound items', 'impoverishment rule', 'morphology']",2020
Do sibilants fly? Evidence from a sound symbolic pattern in Pokémon names,https://ling.auf.net/lingbuzz/005066/current.pdf?_s=asxOGyIC7v9yc43G,"['Kawahara, Shigeto', 'Godoy, Mahayana', 'Kumagai, Gakuji']","Ancient writers, including Socrates and the Upanishads, argued that sibilants are associated with the notions of wind, air and sky. From modern perspectives, these statements can be understood as an assertion about sound symbolism, systematic connections between sounds and meanings. Inspired by these writers, this paper reports on an experiment which tests a sound symbolic value of sibilants. The experiment is a case study situated within the Pokémonastics research paradigm, in which researchers explore the sound symbolic patterns in natural languages using Pokémon names. The current experiment shows that when presented with pairs of a flying type Pokémon character and a normal type Pokémon character, Japanese speakers are more likely to associate the flying type Pokémons with names that contain sibilants than those names that do not contain sibilants. As was pointed out by Socrates, the sound symbolic connection identified in the experiment is likely to be grounded in the articulatory properties of sibilants---the large amount of oral airflow that accompanies the production of sibilants. Various implications of the current experiment for the sound symbolism research are discussed throughout the paper.","['phonetics', 'phonology', 'sound symbolism', 'pokémon', 'sibilants', 'type', 'flying', 'socrates', 'the upanishads', 'phonology']",2020
